date;time;location;operator;flight_tag;aircraft_type;aircraft_reg;cn_ln;accident_type;fatalities;total_crew;dead_names
01/29/1957;19:24;Paris, France;Air France;None;SNCASE SE.2010 Armagnac;F-BAVG;6;Unknown;2;70;[Zabrina Emanuele,Johnnathan Sergei]
01/31/1957;11:18;Near Sunland, California;Douglas Aircraft;None;Douglas DC-7B / U.S. Air Force F-89J;N8210H/52-187OA;45192 / 4447;Unknown;5;6;[Cherrie Dukie,Karriem Charles,Christopher Sidnee,Lensey Lem,Woodley Hashim]
02/01/1957;18:02;New York, New York;Northeast Airlines;823;Douglas DC-6A;N34954;44678/543;Other;21;101;[Thom Marchall,Tyrek Tannie,Delila Gavan,Halimah Rees,Nunzio Roy,Eloy Artie,Duriel Pincas,Lauree Gib,Amelinda Alfie,Satomi Poul,Makeia Worthy,Cassy Dante,Jeoffrey Phillipe,Craig Regan,Jory Marshall,Foster Leonerd,Kennan Nikola,Carlea Alanson,Zola Hodge,Eason Dael,Montrell Justinian]
02/22/1957;20:00;Kimpo Air Base, South Korea;Military - U.S. Air Force;None;Douglas C-124C;51-141A;43475;Unknown;22;159;[Rashawnda Baxter,Samad Nicky,Shayon Jessee,Ashaunti Cooper,Lizbet Tuckie,Diedra Corby,Srah Griffith,Velissa Allin,Monick Neron,Porschia Pate,Amelia Marco,Lashay Allyn,Ivan Neill,Lachelle Trevar,Andrian Ronnie,Sebastien Phillipp,Keri Quincey,Cassidy Stan,Juaquin Arlen,Stalin Reinold,Dalen Staffard,Adrianne Davie]
03/02/1957;17:19;Blyn, Washington;Alaska Airlines;100;Douglas C-54B;N90449;27239;Unknown;5;5;[Raman Hagen,Alida Kerry,Deserea Neall,Jedidiah Juan,Elizaeth Des]
03/04/1957;15:11;Near Miho AB, Japan;Military - Japanese Air Force;None;Curtiss C-46D-15--CU;51-1110;33737;Other;17;17;[Collin Bennie,Toua Bev,Marquesha Danya,Alix Sutherland,Lynsay Brewster,Teagan Lemuel,Dionte Packston,Terrance Kenyon,Rheanna Hilario,Kaila Inness,Truc Lennie,Jamye Forster,Saysha Petey,Mckenzie Terrel,Avalon Zacharias,Taggart Aldo,Jerimie Ricoriki]
03/05/1957;11:00;Drayton, England;Military - UK Royal Air Force;None;Blackburn Beverley C Mark 1;XH117;1023;Unknown;18;22;[Chamia Niles,Brianna Jimmy,Moranda Brodie,Jana Clayborn,Jeremy Weider,Jameca Urbanus,Leshea Graeme,Spencer Magnum,Torell Abel,Makita Cobby,Catarino Caryl,Deion Waylon,Tenia Nappy,Quinta Elliott,Nick Yehudit,Lila Gardener,Lilith Erl,Miki Simeon]
03/09/1957;10:00;El Soldado, Colombia;Avianca;None;Douglas DC-3;HK-155;4338;Hijacked;15;15;[Netra Giselbert,Betsi Darcy,Chari Angie,Madyson Patricio,Kaneshia Baxter,Raylynn Yancy,Kayron Barney,Wilmer Christian,Novella Micky,Eitan Shepard,Yvonne Torrey,Trenisha Waite,Dillan Thibaud,Farah Aldo,Esther Murvyn]
03/14/1957;13:46;Manchester, England;British European Airways;411;Vickers Viscount 701;G-ALWE;4;Shot down;20;20;[Andrzej Garik,Shantrell Correy,Luann Delbert,Micale Julian,Heathr Akim,Radhika Rabbi,Claude Dan,Kamille Pepe,Cammeron Davie,Margarette Carrol,Nestor Svend,Tom Pierre,Kalla Byran,Napoleon Forester,Tisheena Keelby,Nicholi Oliviero,Shirin Leopold,Lanora Zane,Mykel Abramo,Socorro Conway]
03/17/1957;01:40;Near Cebu, Philippines;Military - Philippine Air Force;None;Douglas C-47-A-75-DL Skytrain;2100925;19388;Hijacked;24;25;[Tilton Yvor,Jess Aurthur,Prentiss Barbabas,Lauria Wittie,Shawta Valdemar,Tevita Arman,Khai Jervis,Tiffini Lisle,Timesha Worthy,Elysse Reggie,Elroy Duncan,Haig Beau,Emalee Karlik,Reese Hebert,Rheanna Bendix,Cachet Ferris,Dominque Aron,Dewayne Jozef,Geana Ellsworth,Valente Hagen,Shekia Mayer,Topaz Washington,Chana Levy,Khang Ambrosi]
03/18/1957;04:47;Near Sayari, Bolivia;Lloyd Aereo Boliviano;None;Douglas DC-3;CP-535;4867;Unknown;19;19;[Marilin Waldemar,Emilia Eric,Naketa Lammond,Crist Kris,Irwin Jordon,Hillary Colman,Naomi Bruno,Anette Curran,Shakina Abie,Jt Alvan,Jamesrobert Holt,Warren Stavros,Rainbow Maurits,Buckley Otis,Vu Jamal,Dandrell Boy,Manolo Dani,Carlene Aland,Michaelanthony Richmond]
03/22/1957;00:37;Over the North Pacific Ocean;Military - U.S. Air Force;None;Boeing C-97C;50-702A;16246;Unknown;67;67;[Rise Solly,Mozell Ephraim,Shalandria Whittaker,Jarrell Gaelan,Cathlena Woodrow,Jaymee Ellwood,Britney Preston,Rhoda Barnebas,Lenzy Marwin,Calee Chancey,Honey Moss,Yonah Dukie,Marley Johnathan,Leiloni Niall,Czarina Andrej,Dietrich Vaughn,Grabiel Sebastien,Arlyn Rad,Akhil Gage,Richard Manolo,Tarique Olenolin,Gershon Fair,Benny Vick,Daisi Augustus,Alek Correy,Maron Cortie,Latoia Beauregard,Devone Fielding,Jaclynne Roger,Jeffrey Tann,Natoshia Ward,Rayla Egbert,Delaney Marlow,Jeanise Hillier,Charon Anatol,Louann Jeffrey,Gannon Mickie,Morio Luciano,Berta Andreas,Kristyann Ulysses,Dunte Hanson,Geovany Monty,Shawneequa Gery,Sendy Silvano,Elica Ernie,Jennell Dana,Katelynd Shem,Hakan Goraud,Noami Nathanil,Jusitn Sig,Jenell Rudiger,Dajuan Cob,Bulmaro Brendis,Ling Neils,Meshia Maximilianus,Sopheap Udell,Annique Randolph,Omar Mychal,Shaunita Francois,Racquel Carly,Geoggrey Herc,Jackee Hoyt,Othello Nester,Amaris Gabe,Marguerite Harlen,Tyreik Westbrooke,Laurren Hodge]
04/07/1957;15:45;Bage, Brazil;Varig;None;Curtiss C-46A-45-CU;PP-VCF;30283;Other;40;40;[Illiam Fraze,Stevee Herc,Keslie Silvanus,Ashleymarie Timmie,Shandrea Rudolf,Lenna Myles,Joannie Park,Marquie Huberto,Tirso Curtis,Sada Penny,Charlotte Abraham,Mathan Caldwell,Shenequia Perren,Burton Northrop,Mee Irwinn,Diondre Hube,Ledarius Fritz,Toya Tibold,Andriea Dana,Edel Denney,Jamere Dex,Yasmina Patrice,Eran Geordie,Sweta Peadar,Tishanna Pietro,Keiara Ced,Lan Pate,Kyrsten Carlyle,Jessilyn Garret,Khira Federico,Kystal Orion,Johnnie Sly,Ritu Way,Elke Stillman,Sherriann Chick,Antwaun Zebedee,Rhoda Normie,Jamarius West,Elizabethanne Neville,Charna Alessandro]
04/08/1957;20:29;Algiers, Algeria;Air France;None;Douglas DC-3;F-BEIK;14411/25856;Unknown;34;34;[Delfina Damian,Eleanore Fonz,Annaalicia Dominique,Virgen Torrin,Lizandro Odie,Catelin Torrance,Chee Harwilll,Aryan Garwin,Laporchia Onofredo,Somer Abdul,Sherell Neale,Damonique Taber,Shasta Marion,Lexie Halsy,Daneshia Manuel,Mesha Constantin,Franci Konstantine,Tilla Rafaello,Ravon Derward,Aleah Jean,Nikka Gerick,Halana Stanfield,Clarise Erwin,Stevette Kenneth,Tiffanyann Birch,Dannon Hurleigh,Lauran Jarib,Kayshia Craig,Donnis Guillaume,Doua Dall,Jazz Kaspar,Jovonda Meade,Stephaney Alaric,Fedrick Danya]
04/10/1957;15:20;Anchieta Island, Brazil;REAL Transportes Aereos;1800;Douglas DC-3;PP-ANX;13048;Unknown;26;30;[Casondra Georges,Yiannis Cleve,Myeshia Duncan,Korry Bentley,Adekunle Shaun,Abner Brand,Teila Vernor,Rollie Randi,Morio Rock,Rosina Asher,Johnnathan Natale,Timoty Ira,Bobbyjo Ravid,Thalia Winthrop,Amylee Maximilianus,Whitni Allen,Jami Robbert,Taliah Angeli,Chance Rutledge,Shatora Dominique,Faryn Olag,Luiza Walton,Arturo Hobey,Pablo Rodrique,Jocelyn Ingelbert,Brick Chas]
04/15/1957;07:53;Merida, Mexico;Transportes Aereos Mexicanos;None;Consolidated B-24J;XA-KUN;None;Other;3;3;[Aliya Briant,Karlene Gaylord,Linsey Dall]
04/17/1957;08:30;Near El Quweira, Jordan;Military - UK Royal Air Force;None;Vickers Valetta C-Mk.1;VW832;393;Unknown;24;24;[Shawntia Scotti,Jamilla Cliff,Marley Whit,Keasha Lowell,Jasmina Sol,Howard Talbot,Dallas Thurstan,Sindi Syd,Jock Husein,Taraann Allin,Phat Klaus,Tyana Chevy,Kimbley Jay,Dishawn Cleavland,Terilyn Jamie,Adreanna Purcell,Chrles Dougie,Amabel Feodor,Eberardo Jeddy,Deneshia Hakeem,Charell Aylmer,Demarr Paquito,Trisha Myrvyn,Pooja Louie]
04/20/1957;16:32;Jirkouk, Iraq;Air France;None;Lockheed Super Constellation;F-BGNE;4514;Other;1;1;[Marche Hugh]
05/01/1957;21:20;Blackbushe, Hants, England;Eagle Aviation;None;Vickers Viking 1B;G-AJBO;241;Unknown;34;35;[Johnita Robb,Tarvis Kin,Sybrina Dominique,Rahshawn Gael,Meenakshi Mile,Cosmo Stavros,Nikkie Todd,Kiirsten Albrecht,Glenford Traver,Sharhonda Bren,Monquie Sherlocke,Lakashia Hirsch,Abdulrahman Guntar,Tamia Broddie,Sharika Hartley,Angelino Tam,Markeisha Silvester,Meryl Barny,Janice Falkner,Amal Hailey,Kyriakos Garry,Lamar Osmond,Kimesha Washington,Bettyjo Malchy,Randa Winifield,Jillana Jamal,Kierstan Tanny,Shyam Ettore,Emmitt Wynn,Jamil Ulrich,Durwin Ernst,Soren Cordell,Shulem Ramsey,Eriberto Johnny]
05/05/1957;06:16;Santoshpur, India;Indian Airlines;None;Douglas C-47A;VT-AUV;20318;Unknown;1;3;[Theordore Abdel]
05/09/1957;19:04;Barajas, Madrid, Spain;Aviaco;111;Bristol 170 Freighter;EC-ADI;12757;Shot down;37;37;[Michale Fonz,Americo Gardiner,Alexie Corty,Belal Adan,Chans Merle,Tyshema Dewey,Calen Garret,Henny Dirk,Denia Maxie,Christna Efren,Daielle Izzy,Elyssa Allen,Oona Hubey,Denine Kin,Isaia Waverly,Dontrell Henry,Briane Birch,Darelle Clevey,Tucker Hubey,Ustin Leslie,Jerin Bennie,Bashan Raffarty,Digna Hendrik,Shayla Rowney,Osha Rocky,Stan Jehu,Delyla Alasdair,Ivis Onfroi,Tekoa Dar,Misa Colas,Sarae Sigfried,Crawford Richard,Nai Garik,Cassius Berkley,Nonie Bondon,Javares Gardner,Brigida Chick]
05/13/1957;03:35;Narsarressuak, Greenland;U.S. Overseas Airways;None;Douglas DC-4;N68736;7449;Unknown;2;3;[Stalin Etan,Joshus Bruce]
05/13/1957;17:36;Near San Carlos de Bariloche, Argentina;Lineas Aereas del Estado;None;Vickers 615 Viking 1B;T-3;151;Unknown;16;16;[Shannette Beck,Denard Tulley,Eden Griffy,Luzmaria Lawry,Josalyn Paddy,Dominga Shadow,Brittay Wade,Toneisha Che,Goldie Skipp,Eran Lane,Damin Cornell,Asia Chen,Lashea Garth,Nikela Courtney,Lizzete Mason,Jeannifer Piotr]
05/13/1957;02:13;New Delhi, India;Indian Airlines;None;Douglas DC-3;VT-CFB;13626;Unknown;2;2;[Ravis Sancho,Ramzi Nicky]
06/14/1957;23:10;Near Moscow, Russia;LOT Polish Airlines;232;Ilyushin P-14;SP-LNF;6341407;Unknown;9;13;[La Dwayne,Terrance Ezri,Laria Jefferson,Tereasa Kennett,Jackson Lanie,Niklas Gasparo,Hyun Delmar,Reyna Gram,Chioma Paton]
06/18/1957;10:20;Bodensee, Switzerland;Swissair;None;Douglas C-47B;HB-IRK;20737;Unknown;9;9;[Johathon Claudianus,Waylen Cooper,Johnwilliam Glenden,Luz Wiley,Inez Tait,Martrice Giacopo,Martha Jon,Arah Derron,Alnisa Baxy]
06/22/1957;07:50;Near Clarksburg, Maryland;Capital Airlines;None;Douglas C-47A;N88835;19448;Other;3;3;[Dantavius Tome,Bilal Berny,Avi Ricoriki]
06/23/1957;14:20;Port Hardy, BC, Canada;Pacific Western;None;Douglas DC-3;CF-EPI;7408;Hijacked;14;18;[Daisha Gordy,Velina Weylin,Crytal Kale,Averill Fernando,Stevyn Klemens,Anastassia Godard,Ina Chev,Kaytlyn Steven,Isabel Maynord,Whisper Terri,Jennalynn Armand,Conrado Hadrian,Katelyn Amble,Grisell Barde]
06/24/1957;21:43;Horn Island, Queensland, Australia;Adastra Airways;None;L-Hudson;None;None;Unknown;6;6;[Vernon Welby,Jenah Nathanial,Chevis Sidney,Makayla Galvin,Leander Benjy,Raeshawn Eberhard]
07/01/1957;12:26;Bay of Bengal, Pakistan;Pakistan International Airlines;None;Douglas DC-3;AP-AJS;12501;Other;24;24;[Dalena Zacherie,Jarit Daron,Sokha Roddy,Charece Fowler,Maija Malchy,Khandi Elnar,Darl Skipper,Lucian Millard,Ladreka Joshuah,Suzann Byram,Mathis Wilt,Tekia Aldon,Tawana Gilburt,Daron Newton,Ivan Lindsay,Arlando Lucias,Kerek Burnaby,Melchizedek Kristoffer,Mar Bart,Ailyn Conny,Jaamal Farly,Kinard Matthieu,Siobahn Urson,Rumaldo Barnabe]
07/03/1957;10:48;Near Fort Rupert, Quebec, Canada;Kenting Air;None;Lockheed L-414 Hudson;CF-CRL;414-7546;Other;4;4;[Iffany Dallas,Brooklin Ira,Geena Adolpho,Gretel Thorpe]
07/16/1957;21:20;Near Hsinchu, Taiwan (Formosa);Military – U.S. Air Force;None;Douglas C-47A-90 (DC-3);43-15867;20333;Unknown;16;16;[Dierdre Billy,Jondavid Hal,Tarez Dillon,Annette Lindsay,Wykeshia Orlan,Lacandice Toddie,Obdulio Gabriele,Sebastien Jessee,Sherman Kenyon,Kainoa Laurens,Jacquelynn Mic,Kera Haydon,Donnel Albert,Skyla Ingram,Shie Brand,Ladreka Balduin]
07/16/1957;03:36;Near Biak, Indonesia;KLM Royal Dutch Airlines;844;Lockheed 1049C Super Constellation;PH-LKT;4504;Unknown;58;68;[Nail Welsh,Zella Ferguson,Nichalas Percival,Melba Norton,Lessie Bronny,Jacqualyn Dukie,Zinnia Duky,Thao Curran,Jock Sigismond,Shalita Reinold,Mikio Early,Jamekia Stewart,Jerimy Victor,Rajah Britt,Jayne Al,Nakeita Jaymie,Elliot Parry,Ketura Emmit,Jennett Eddie,Kavon Aldin,Jameil Nil,Kalee Leroi,Dushawn Bron,Shaylin Maximilian,Karenann Orran,Jaison Corbett,Donavan Tailor,Chastidy Rand,Sherrell Dorian,Rc Westley,Rosendo Lyell,Kaeli Purcell,Ladonna Web,Shalimar Sigfried,Tylisha Walden,Shenetta Samuele,Lino Whitman,Sheelah Sonnie,Deval Micky,Taura Ingar,Jordanna Job,Canaan Ernesto,Georgine Gail,Helder Winny,Rosario Tobin,Shannice Alejoa,Edrick Patrice,Keana Xymenes,Tadd Elden,Jeslyn See,Summer Gregor,Andrienne Ches,Leanne Nikolaos,Mikella Aldin,Alim Lek,Yamil Danie,Trinidad Dare,Elisa Jayme]
07/25/1957;03:37;Daggett, California;Western Airlines;39;Convair CV-240;N8405H;22;Unknown;1;16;[Evagelia Merell]
08/11/1957;14:15;Near Issoudun, Quebec, Canada;Maritime Central Airways;None;Douglas DC-4;CF-MCF;18374;Unknown;79;79;[Nikkolas Ollie,Tiffaney Alexander,Arlando Brigg,Sabrina Ethelbert,Ying Cello,Elihu Gal,Lecole Ric,Madelyne Montgomery,Haywood Galven,Fenton Kennie,Jacklin Dietrich,Baudelia Erwin,Sherlyn Wayland,Shandee Donnie,Rc Coop,Katelynd Kliment,Alyx Welbie,Maylee Floyd,Daisha Hadleigh,Chawn Jodi,Adrean Rickie,Marquisha Lonnard,Chera Peirce,Kambria Caesar,Zacharia Murry,Audree Dexter,Ozell Bram,Dorene Amery,Shirlena Burk,Akeem Vin,Valerie Clywd,Rianna Frasier,Tristia Ernestus,Atara Tremain,Billye Niles,Jahanna Julio,Judi Kristo,Tamra Chico,Shaheen Tomkin,Kameko Elnar,Alston Fletcher,Kerianne Antoni,Kathlyn Ricard,Liesl Kale,Justin Leigh,Sixto Tad,Sheresa Rufe,Juanito Palmer,Tyrie Prent,Vidhya Syd,Dandrea Benton,Balinda Jerald,Andie Jan,Genaro Peirce,Hermelinda Kaiser,Shanti Stewart,Anorea Nico,Laisa Rafaellle,Phylicia Penrod,Nona Dominik,Rindy Haskell,Lindsay Weider,Jamonte Joshuah,Calissa Randal,Patricie Bayard,Lashaya Milton,Deljuan Kip,Antony Freddie,Walker Napoleon,Kailie Hanson,Angelene Bryant,Marylouise Sheff,Calib Sinclare,Timithy Niko,Jaquilla Miguel,Corrie Salvatore,Quentin Lombard,Hila Richy,Cala Griffith]
08/15/1957;06:30;Copenhagen, Denmark;Aeroflot;103;Ilyushin IL-14P;CCCP-L1874;146000607;Other;23;23;[Talon Allie,Eliz Archambault,Wilburn Wittie,Amrita Rolfe,Randa Vin,Hyacinth Davie,Trimaine Hilario,Nasreen Noak,Shatera Titus,Stina Alvin,Casie Padraic,Theadore Marcos,Stephan Fran,Cassius Dilan,Saul Gregorio,Crosby Clevey,Krystan Raynor,Mareshah Valentine,Celene Kristofer,Raymont Kit,Maxine Chas,Rechelle Walker,Naseem Aubert]
08/20/1957;00:27;Assam, India;Indamer;None;Douglas DC-3;VT-ARH;4851;Unknown;8;8;[Samar Dolf,Brina Elnar,Deloris Sylvan,Jathan Rusty,Kristinejoy Dallas,Denia Shermy,Rakeem Woody,Kamisha Aurthur]
08/29/1957;10:31;Near Juticalpa, Honduras;Sahsa Airlines;None;Douglas DC-3;XH-SAF;17139/3440;Hijacked;12;12;[Suzan Obadias,Kedrick Henderson,Jillana Rorke,Demareo Meade,Shauntea Pebrook,Jammy Winny,Alston Fabe,Farid Scot,Rambo Shamus,Leanda Rawley,Ruddy John,Rufino Alvan]
09/03/1957;00:27;Niquitao, Venezuela;Avensa;None;Douglas DC-3;YV-C-AVG;4754;Other;8;8;[Danette Gerek,Dejah Marcello,Shelton Hirsch,Ltoya Domenico,Alen Bevan,Lamon Richart,Danen Renato,Khira Dell]
09/15/1957;20:46;New Bedford, Massachusetts;Northeast Airlines;285;Douglas DC-3;N33417;7337;Other;12;24;[Alisse Raviv,Jamarius Alic,Nimisha Gregor,Sarah Zackariah,Tonyetta Alden,Shaida Eal,Kortni Wesley,Chante Ignazio,Taquita Johnny,Josclyn Paquito,Tangela Spike,Chioma Obadias]
09/18/1957;21:20;Montevideo,  Uruguay;REAL Transportes Aereos;None;Convair CV-440-62;PP-AQE;456;Unknown;1;35;[Alain Emmy]
09/27/1957;11:30;Bhiwandi, Maharashtra, India;èkoda (India) Ltd;None;Let Aero 45S;VT-DHO;51198;Unknown;3;3;[Lizzette Marmaduke,Edna Alberik,Adelaida Hilton]
09/28/1957;05:00;Islay-Glenegedale Airport, Scotland;British European Airways;None;De Havilland DH-114 Heron;G-AOFY;14099;Unknown;3;3;[Conway Paolo,Salicia Sherlock,Marlo Andonis]
10/01/1957;18:55;Akshi, Russia;Aeroflot;11;Ilyushin IL-12; CCCP-L1389; 30 123;Unknown;27;27;[Laporcha Gardiner,Lenette Graham,Jenie Dante,Maurie Giffy,Evett Jeremy,Hope Gerome,Jerianne Winston,Enrica Dietrich,Ariane Brien,Damin Chrissie,Luciana Alain,Aziza Nicolis,Laruen Burk,Lovell Sherwin,Zachory Otis,Chalsea Aldridge,Ancil Evyn,Grabiel Brannon,Jawara Miles,Nigel Zared,Anamaria Burr,Vikash Jermain,Aesha Reinhold,Harvey Emmott,Loan Rowan,Kaly Chev,Trevion Darrel]
10/03/1957;01:55;Beirut, Lebanon;Lebanese International Airways;None;Curtiss C-46A-45-CU;OD-ACK;30249;Unknown;27;27;[Kayse Rolph,Jerrud Orville,Ani Sherlock,Stevette Gun,Beatrice Bartlet,Esther Amble,Channie Julian,Candiss Clair,Tamia Sebastiano,Evaristo Yurik,Dorrie Pavlov,Njideka Sasha,Corrin Skipp,Alyn Morly,Courtnee Hort,Loring Johny,Ivana Rikki,Milton Skipp,Taura Cosme,Niki Ingrim,Alysen Morlee,Jeny Hewe,Richardo Lin,Iwalani Bevan,Ever Orland,Kanisha Reube,Takyra Krishna]
10/18/1957;10:04;Porto Alegre, Brazil;Varig;None;Douglas C-47A;PP-VCS;19757;Other;2;2;[Luisana Homer,Katharine Jard]
10/23/1957;16:51;Belfast, Ireland;British European Airways;None;Vickers 802 Viscount;G-AOJA;150;Other;7;7;[Meaghan Gothart,Tyronda Talbert,Mahyar Avram,Angel Care,Jorgeluis Abby,Leya Lucas,Natessa Cedric]
10/28/1957;18:05;Madrid, Spain;Iberia Airlines;None;Douglas DC-3;EC-ACH;19332;Unknown;21;21;[Perla Malcolm,Loreana Cyrille,Theon Allister,Brendaliz Vinny,Ileen Say,Danika Gaspar,Beckie Brand,Shawneequa Daron,Shalimar Ethe,Martell Gordy,Shyam Kerry,Cheris Raoul,Crystalann Ulric,Jose Tucky,Nekia Elia,Shonteria Hillyer,Ahuva Gregory,Macey Nappy,Shedrick Lorenzo,Adrina Erie,Marchetta Leland]
10/30/1957;19:17;Near Campeche, Mexico;Transportes Aereos Mexicanos;None;Fairchild C-82A;XA-LIW;None;Weather;3;3;[Latyra Alexandros,Denon Dalton,Tempess Emanuele]
11/03/1957;07:03;Dusseldorf, West Germany;Herfurtner Company;None;Douglas DC-4;D-ALAF;459;Unknown;7;10;[Cyndia Ax,Keith Niall,Ronal Wood,Myrna Dag,Kyoko Hort,Dward Colver,Asya Jeffy]
11/04/1957;17:58;Moscow, Russia;TAROM;None;Ilushin Il-14;YR-PCC;1460 010 10;Unknown;4;16;[Elyse Carr,Katia Marten,Tywan Roarke,Jori Gino]
11/06/1957;20:11;Bristol, England;Bristol Aeroplane Co.;None;Bristol Britannia 175;G-ANCA;12917;Unknown;15;15;[Megin Baudoin,Telma Rutter,Lavell Tobe,Cerina Cordie,Kecia Malchy,Casey Andros,Lyndsay Nels,Oris Nickie,Karaline Odey,Tenea Andre,Mitzi Maddie,Danya Burl,Dene Ezequiel,Vong Padgett,Christophor Brooks]
11/08/1957;01:27;900 miles E of Honolulu, Hawaii, Pacific Ocean;Pan American World Airways;7;Boeing - 377-10-29 Stratocruiser;N90944;15960/40;Other;44;44;[Joshoa Arte,Rasan Paddie,Shanessa Cullan,Amesha Ingram,Akiva Douglas,Shekeya Dag,Chauntay Alisander,Marc Steve,Ryon Cameron,Salomon Norton,Hyacinth Temple,Hazen Burlie,Phi Patten,Nicky Burtie,Elisah Gianni,Claudell Alan,Nefertiti Rick,Grissel Eberhard,Aleksandra Culley,Iisha Darb,Christeena Crichton,Chelcie Cy,Ndrew Tobie,Juanjose Mallory,Kierstan Shell,Danicia Archibold,Jaelyn Maurizio,Cartney Costa,Denice Urson,Kaylah Hy,Navia Weidar,Britnie Hadleigh,Camilla Artair,Keyauna Nevil,Yelitza Perceval,Linwood Linn,Anni Gregor,Xavion Joshuah,Juanisha Arel,Nou Gerhardt,Ademola Reider,Talisha Emmit,Genese Kirk,Trung Patty]
11/15/1957;20:08;Near Palma de Mallorca, Spain;Aviaco;None;De Havilland DH-114 Heron 2D;EC-ANZ;14117;Unknown;4;4;[Tray Morton,Gabriele Renado,Rockie Manny,Nazanin Chaddy]
11/15/1957;22:54;Chessell Down, England;Aquilla Airways;None;Short Solent 3 (flying boat);G-AKNU;S-1299;Weather;43;58;[Marcy Cleve,Joby Hew,Millisa Hyatt,Chenell Jed,Rosana Olly,Alexandar Oates,Chancelor Lloyd,Robbyn Tad,Quentez Scarface,Millissa Larry,Zebadiah Lionel,Shanessa Jody,Shaindel Davy,Tejuan Cort,Taneika Teodor,Montez Hardy,Camila Paquito,Marisabel Adham,Arista Brock,Bertin Adlai,Broderick Arte,Kesia Sherman,Vallerie Benoit,Tristia Jozef,Devina Hershel,Johnmark Emilio,Iain Benyamin,Mistina Taber,Natasia Trace,Katty Ebeneser,Nicholaus Morton,Rik Matthieu,Imelda Boycie,Krystelle Thadeus,Moreen Duke,Amberia Garek,Sean Levon,Tino Claiborne,Saeed Hendrik,Jawon Giselbert,Ananda Gradeigh,Letica Gard,Georgiana Mychal]
11/21/1957;11:33;Christchurch, New Zealand;Straits Air Freight Express;None;Bristol 170 Freighter 31;ZK-AYH;12828;Weather;4;4;[Joshuah Sylvan,Kandi Rudolf,Shala Trefor,Ronan Cesar]
12/08/1957;16:45;Bolivar, Argentina;Aerolineas Argentinas;None;Douglas DC-4;LV-AHZ;27227;Other;61;61;[Antigone Ximenez,Samanth Lennie,Brookelyn Lauren,Johnthan Dev,Mariam Deane,Kiki Gradeigh,Maggy Alberik,Telly Shem,Shenna Borg,Bashar Cy,Ella Paige,Rick Faber,Antwane Ivar,Passion Noe,Calah Chip,Kevi Martainn,Rulon Hakim,Savanah Rainer,Shamera Conroy,Lazer Everett,Sibyl Shepperd,Darius Joseito,Whitney Sampson,Brittant Nikos,Chere Byran,Shanta Rollin,Timberly Matthieu,Johanne Hermy,Mariadejesus Carly,Deandrew Amory,Leonna Zollie,Christina Koenraad,Lowen Pip,Terez Hillel,Ceaira Maynord,Elica Hamlin,Jenet Melvyn,Duante Serge,Adriana Edwin,Kieron Horten,Drema Orin,Solon Stan,Macie Had,Heath Abraham,Jeorge Adriano,Talon Gary,Adham Errick,Akash Ken,Tanita Rodrique,Wilfred Skylar,Rowena Theobald,Orlando Bartel,Shaquira Rip,Sanela Clerc,Ambrosio Bancroft,Nolen Saw,Rigo Granny,Andreya Marmaduke,Dany Krishnah,Meka Skip,Kereem Cello]
12/10/1957;17:11;Jeannine Lake, Quebec, Canada;Northern Wings;None;Douglas C-47A;CF-GKV;13837/25282;Unknown;3;10;[Prem Rex,Lilliane Ade,Charis Curry]
12/11/1957;13:12;Ozamis City, Philippines;Philippine Air Lines;None;De Havilland Canada DHC-3 Otter;PI-C55;168;Unknown;2;12;[Equan Irving,Byron Hakim]
12/18/1957;12:35;Near Birobidzhan, Russia;Aeroflot;10;Ilyushin IL-12;CCCP-L1309; 30 015;Unknown;27;27;[Crystallynn Garfield,Ramonita Frans,Nickalos Adolphe,Jerrit Gothart,Lucerito Thorny,Donnita Marwin,Catrell Roley,Ariadne Hale,Louvenia Travers,Rusti Isidoro,Tashawna Heywood,Epifanio Peter,Mekia Xavier,Savannah Shadow,Deidrea Alphonso,Daneil Allister,Jackilyn Craggy,Cynda Adrian,Idelfonso Gus,Averie Rochester,Candyce Corney,Shantrice Niccolo,Jame Gustavo,Tamar Salvador,Jaquita Edd,Brentt Fergus,Janeice Ryan]
12/23/1957;16:00;Off Oahu, Hawaii;Military - U.S. Navy;None;Lockheed WV-2;143197;4471;Malfunction;19;23;[Chaz Maddie,Sok Jereme,Esther Kristos,Kaytie Carling,Bryce Kelby,Zipporah Randolf,Geofrey Clemente,Nayeli Kendricks,Agron Normie,Austen Steffen,Kalle Maynard,Sampson Vachel,Marshelle Julian,Velvet Aldric,Tenell Barri,Tawney Colver,Brittinie Jarad,Deneen Marc,Breda Titus]
12/23/1957;07:06;Stansted, England;Scottish Airlines;None;Avro 685 York C-1;G-AMUN;MW321;Unknown;4;4;[Jones Clayborne,Denelle Sander,Rayford Sansone,Kaycie Sim]
12/31/1957;12:57;Buenos Aires, Argentina;Aerolineas Argentinas;None;Short Sunderland;LV-AAR;3;Unknown;9;50;[Brinkley Kalle,Perlita Any,Cordney Chicky,Crescentia Glyn,Keera Michele,Pari Vasili,Oswaldo Bil,Francesa Stirling,Effie Conway]
01/16/1958;13:10;Belem, Brazil;Cruzeiro do Sul;None;Fairchild C-82A;PP-CEF;10200;Other;3;3;[Devaughn Osmond,Khiana Claus,Caree Hort]
